TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
49915,Permitted Site,Pittosporum undulatum :: Victorian Box,2140 Folsom St,3,Sidewalk: Curb side : Cutout,Private,6/6/16 0:00,3,4x4,37.76303033,-122.41518
253523,DPW Maintained,Lophostemon confertus :: Brisbane Box,134 09th St,2,Sidewalk: Curb side : Cutout,Private,10/26/17 0:00,3,3x3,37.77571814,-122.4143273
90502,DPW Maintained,Pyrus calleryana 'Capital' :: Ornamental Pear Tree 'Capital',401X 25th Ave,1,Sidewalk: Curb side : Cutout,DPW,3/27/08 0:00,3,3x3,37.7819643,-122.4849391
42671,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,1115 Filbert St,1,Sidewalk: Curb side : Cutout,Private,10/25/07 0:00,3,3x3,37.80022539,-122.417992
253074,DPW Maintained,Acer rubrum 'Armstrong' :: Armstrong Red Maple,2849X Alemany Blvd,5,Sidewalk: Curb side : Cutout,DPW,10/13/17 11:14,3,3X3,37.71322587,-122.4500992
40304,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,276 San Carlos St,1,Sidewalk: Curb side : Cutout,Private,7/2/03 0:00,10,,37.75896679,-122.4199633
13865,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1000 Market St,4,Sidewalk: Curb side : Cutout,DPW,7/18/06 0:00,3,4x4,37.78228581,-122.4103698
160459,DPW Maintained,Podocarpus gracilor :: Fern Pine,90 France Ave,1,Sidewalk: Curb side : Cutout,Private,7/23/20 0:00,3,Width 0ft,37.71974773,-122.4378884
108763,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,500X Lathrop Ave,2,Sidewalk: Curb side : Cutout,Private,1/6/15 0:00,3,,37.71019172,-122.3976987
199430,DPW Maintained,Ficus microcarpa :: Chinese Banyan,695 Arkansas St,1,Sidewalk: Property side : Yard,Private,10/16/19 0:00,3,Width 10ft,37.75746356,-122.3978854
46557,Permitted Site,Pyrus calleryana :: Ornamental Pear,2169 Folsom St,2,Sidewalk: Curb side : Cutout,Private,4/2/02 0:00,10,3x3,37.76261233,-122.4149587
107685,Permitted Site,Olea europaea :: Olive Tree,330 Seacliff Ave,8,Sidewalk: Curb side : Cutout,Private,10/10/14 0:00,3,,37.78815093,-122.4896508
